IATACode, 2019Passengers 
ATL," 106,893,692 "
PEK," 102,607,733 "
LAX," 85,353,489 "
DXB," 83,885,803 "
ORD," 82,178,586 "
LHR," 79,503,185 "
HND," 76,258,178 "
PVG," 75,796,080 "
CDG," 75,294,622 "
CAN," 73,324,707 "
HKG," 71,646,373 "
DFW," 71,323,860 "
AMS," 70,194,577 "
DEL," 69,584,339 "
FRA," 68,897,126 "
ICN," 68,525,506 "
SIN," 67,112,347 "
DEN," 66,933,964 "
IST," 65,543,666 "
BKK," 63,290,345 "
JFK," 62,508,366 "
KUL," 62,107,254 "
MAD," 61,113,285 "
CGK," 59,113,567 "
SFO," 55,466,611 "
CTU," 53,699,796 "
SZX," 53,032,086 "
BCN," 52,082,777 "
SEA," 49,908,383 "
MEX," 49,889,788 "
YYZ," 49,671,134 "
MCO," 49,176,047 "
LAS," 48,864,787 "
CLT," 48,355,004 "
SVO," 48,266,480 "
BOM," 48,013,340 "
TPE," 47,601,892 "
MNL," 47,127,119 "
MUC," 47,096,363 "
KMG," 46,841,760 "
EWR," 46,246,543 "
XIY," 45,891,309 "
SYD," 45,867,841 "
LGW," 45,744,616 "
SHA," 45,736,120 "
PHX," 44,618,187 "
IAH," 43,711,567 "
FCO," 43,468,941 "
GRU," 43,190,694 "
CKG," 43,175,921 "
MIA," 42,625,926 "
NRT," 42,141,129 "
BOS," 41,327,895 "
DMK," 41,067,387 "
SGN," 39,808,122 "
MEL," 38,432,860 "
HGH," 38,266,095 "
MSP," 38,230,943 "
DOH," 37,485,426 "
FLL," 36,192,221 "
DTW," 36,141,953 "
SAW," 35,126,937 "
JED," 34,854,963 "
BOG," 34,147,304 "
BLR," 33,919,198 "
DUB," 32,436,141 "
ZRH," 32,333,772 "
PHL," 32,243,699 "
ORY," 32,138,631 "
VIE," 31,140,162 "
LGA," 30,732,313 "
KIX," 30,659,625 "
LIS," 30,160,691 "
NKG," 29,486,274 "
CPH," 29,449,543 "
MAN," 29,219,442 "
MXP," 28,769,097 "
PMI," 28,634,273 "
CJU," 28,298,164 "
HAN," 28,229,136 "
STN," 27,907,304 "
OSL," 27,717,821 "
